text,lemma,type,pos,BM,domain
hallazgo;hallazgos.,hallazgo,uniword,NOUN,None,None
estancado,estancado,uniword,ADJ,None,None
radical,radical,uniword,ADJ,None,None
practican;practicaron,practicar,uniword,VERB,None,None
reaccionaron;reaccionar;reacciona,reaccionar,uniword,VERB,None,None
envío,envío,uniword,NOUN,None,None
grande,grande,uniword,ADJ,None,None
rebosan,rebosar,uniword,VERB,None,None
precio,precio,uniword,NOUN,None,None
recuperación,recuperación,uniword,NOUN,None,None
facilitarle,facilitar él,uniword,VERB,None,None
agredir,agredir,uniword,VERB,None,None
girando,girar,uniword,VERB,None,None
rastro;rastros,rastro,uniword,NOUN,None,None
paralizó,paralizar,uniword,VERB,None,None
vertiginoso,vertiginoso,uniword,ADJ,None,None
para,para,uniword,ADP,None,None
redujo,reducir,uniword,VERB,None,None
malígnas,malígna,uniword,ADJ,None,None
tensa,tenso,uniword,ADJ,None,None
elevado,elevado,uniword,ADJ,None,None
durísimo;durísima,durísimo,uniword,ADJ,None,None
constante,constante,uniword,ADJ,None,None
tremendamente,tremendamente,uniword,ADV,None,None
maravillosas,maravilloso,uniword,ADJ,None,None
remisión,remisión,uniword,NOUN,None,None
controlarlo,controlar él,uniword,VERB,None,None
libre,libre,uniword,ADJ,None,None
imaginar,imaginar,uniword,VERB,None,None
focalizados,focalizado,uniword,ADJ,None,None
estudios,estudio,uniword,NOUN,None,None
mantengáis,mantengáis,uniword,VERB,None,None
horribles,horrible,uniword,ADJ,None,None
superacion,superacion,uniword,NOUN,None,None
centrada,centrado,uniword,ADJ,None,None
sañían,sañir,uniword,VERB,None,None
extirpado;extirpados,extirpado,uniword,ADJ,None,None
debilitado,debilitado,uniword,ADJ,None,None
derivan;deriva,derivar,uniword,VERB,None,None
junta,junta,uniword,PROPN,None,None
temores,temor,uniword,NOUN,None,None
como,como,uniword,SCONJ,None,None
falle,fallir,uniword,VERB,None,None
existencia,existencia,uniword,NOUN,None,None
tolerarse,tolerar él,uniword,VERB,None,None
puerto de montaña,puerto,multiword,NOUN,None,None
