MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	entereza		3	entereza-14461231-n	entereza-05032193-n		
OneWordMV	entrar		76	entrar-02016523-v	entrar-01082606-v		
OneWordMV	entrar		11	entrar-02016523-v	estar enfermo-00065370-v	u.c.StringArray(elements=['intr. ir o pasar de fuera adentro. (rae)'])	
OneWordMV	enviar	enviar, envío	83	enviar-01031256-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01062555-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01437254-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01950798-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enviar-01955127-v	enviar-02348568-v		u.c.StringArray(elements=['encomendar a alguien que vaya a alguna parte (rae).'])
OneWordMV	episodio		25	capítulo-06621771-n	episodio-07289956-n		
OneWordMV	escapar		22	escapar-02008396-v	curarse-00270561-v		
OneWordMV	escapar		12, 22	escapar-02074677-v	escapar-00810729-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/saludable-01170243-a		
OneWordMV	escenario		52				
OneWordMV	escuchar		77	escuchar-02169891-v	escuchar+atentamente-02170427-v		
OneWordMV	espacio						
OneWordMV	esperanza	tener esperanza	31	esperanza-05950733-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/esperanza-07541053-n	esperanza-14483620-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/esperanza+de+vida-15142025-n		
OneWordMV	estabilizar	estabilizar, estable	28	estable-00894551-a	estable-01754421-a	u.c.StringArray(elements=['que mantiene o recupera el equilibrio.'])	
OneWordMV	estable	estabilizar, estable	28	estable-00894551-a	estable-01754421-a	u.c.StringArray(elements=['que mantiene o recupera el equilibrio.'])	
OneWordMV	estancado	estancar, estancado		Detener y parar el curso y corriente de un líquido.	Entorpecer, paralizar las facultades mentales de alguien.		
OneWordMV	estancar	estancar, estancado		Detener y parar el curso y corriente de un líquido.	Entorpecer, paralizar las facultades mentales de alguien.		
OneWordMV	estar		76	estar-02655135-v	participar-01082606-v		
OneWordMV	estar	pasar por	26	estar-02655135-v	vivir-02614181-v		
Frame_RoleMismatch	estar presente	la ansiedad estaba siempre presente					
Frame_RoleMismatch	estar presente	la ansiedad estaba siempre presente					
OneWordMV	estocada		33	estocada-00290276-n	pasmo-07509572-n		
OneWordMV	estudios	realizar los estudios	85				
OneWordMV	evacuar		23	desalojar-02076676-v	cagar-00074038-v		
OneWordMV	evadir	evadir preguntas	53	evadir-02074677-v	evitar-00811171-v		
OneWordMV	evitar		51	evitar-02096494-v	evitar-02599878-v		
OneWordMV	evolucionar	evolucionar, evolución	2		evolucionar-01738597-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/evoluci%C3%B3n-00282050-n		
OneWordMV	exagerar	sangrado exagerado	23	exagerado-01534282-a			
OneWordMV	existencia	existir, existencia	3	existir-02603699-v	existir-02614181-v		
OneWordMV	existir	existir, existencia	3	existir-02603699-v	existir-02614181-v		
OneWordMV	exponer		30		exponer-00875806-v	u.c.StringArray(elements=['tr. presentar algo para que sea visto. (rae)'])	
OneWordMV	expulsar		30	expulsar-02222318-v	desahogado-00479330-a		
OneWordMV	extender	extender, extenso, extendido, extender una noticia, extender un tumor	53, 81	extender-02082690-v	diseminar-00968211-v		
OneWordMV	extender	extender, extenso, extendido, extender una noticia, extender un tumor	11	extender-02082690-v	metástasis-13514314-n		
OneWordMV	extenso	extender, extenso, extendido, extender una noticia, extender un tumor	11	extender-02082690-v	metástasis-13514314-n		
OneWordMV	extirpado	extirpar, extirpado	6, 62			u.c.StringArray(elements=['en una operación quirúrgica, quitar un órgano o una formación patológica', 'arrancar de cuajo o de raíz.'])	
OneWordMV	extirpar	extirpar, extirpado	6, 61			u.c.StringArray(elements=['en una operación quirúrgica, quitar un órgano o una formación patológica', 'arrancar de cuajo o de raíz.'])	
OneWordMV	extraño		11	extra%C3%B1o-10103921-n	extra%C3%B1o-00969333-a		
OneWordMV	extremo		35	extremo-00446107-a	extremo-01212095-a		
OneWordMV	facilitar	facilitar información	53	facilitar-00518395-v	facilitar-00876200-v		
OneWordMV	factor		5				
OneWordMV	fallar	llevar sin fallo	6, 23	fallar-00434374-v	fallar-02528380-v		
OneWordMV	familia		76, 75	familia-07969695-n	familiaridad-04655442-n		
OneWordMV	fan						
OneWordMV	fase	fase de desconcierto	2, 3	fase-00306900-n	fase-13939892-n		
OneWordMV	fastidiar		2, 11	fastidiar-01789514-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/fastidiar-02507736-v			
OneWordMV	fe		31	fe-08081668-n	esperanza-07541053-n		
OneWordMV	fin	fin, final	26	fin-08565894-n, final-01010025-a	final-14562960-n		
OneWordMV	firme		53	firme-01151740-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/firme-02095542-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/firme-02095670-a	firme-00764484-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/firme-02130272-a		
OneWordMV	flojear	flojear, flojo	3, 23	flojo-00503321-a	desánimo-14486533-n		
OneWordMV	flojo	flojear, flojo	3, 24	flojo-00503321-a	desánimo-14486533-n		
OneWordMV	focalizado	focalizado, foco	11, 12	enfocar-00292368-v	ubicación-00155487-n		
OneWordMV	foco	focalizado, foco	11, 13	enfocar-00292368-v	ubicación-00155487-n		
OneWordMV	foco	foco residual del tumor	28	residuo-13810818-n			
OneWordMV	fortaleza		34	fortaleza-03386011-n	fortaleza-05029706-n		
OneWordMV	frenar		11	frenar-01863593-v			
OneWordMV	frio		36	fr%C3%ADo-05015463-n	fr%C3%ADo-00857206-a		
OneWordMV	frio		73	frío-01251128-a	distante-01077263-a		
OneWordMV	fruto		8	fruto-04612722-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/fruto-13134947-n	fruto-04612722-n		
OneWordMV	fuente		3	fuente-03387815-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/fuente-09443453-n	fuente-04263614-n		
OneWordMV	fuera		3	fuera-00129527-n	f%C3%ADsicamente-00115254-r		
OneWordMV	fuerte		34	fuerte-02387413-a	fuerte-01188762-a		
OneWordMV	fuerza		77, 34, 7, 3, 22	fuerza-00103834-n	fuerza-01211019-n		
FormulaicExpression	Fuerza	mucha fuerza					
FormulaicExpression	Fuerza	mucha fuerza y alegría					
FormulaicExpression	Fuerza	Mucha fuerza y ánimo					
FormulaicExpression	Fuerza	todas mis fuerzas					
OneWordMV	funcionar		6	funcionar-01525666-v	funcionar-02525447-v		
OneWordMV	ganas						
OneWordMV	gestionar		3	gestionar-02431971-v	sentir-00690305-v		
OneWordMV	girar		32	girar-00100410-v	pensar-00608808-v		
OneWordMV	golpear	golpear, golpe, ser un golpe	53	golpe-00133338-n			
Frame_RoleMismatch	golpear	la vida va a golpear					
OneWordMV	grande	reto grande	6	grande-00624576-a			
OneWordMV	grave		23	grave-01215421-a	grave-00580039-a		
OneWordMV	gravedad		52	gravedad-11464143-n	gravedad-05036715-n		
OneWordMV	guiar		72, 53	guía-01144876-n	guía-06422740-n		
Frame	guiar	guiándote con cariño a través de este proceso					
OneWordMV	gusto			gusto-05658226-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/gusto-05844282-n	gusto-05749619-n		u.c.StringArray(elements=['manera de apreciar las cosas cada persona.'])
OneWordMV	haber	hoy en día hay					
OneWordMV	hacer	deberías hacer, empezar hacer, es lo que tienes que hacer., ha de hacer, hacer efecto, hacer caso, hacer como si nada (pasase), hacer frente (a algo), hacer mella, hacer nada, hacer todo lo posible, hacer tu vida, hacer vida normal, hacerse a algo, hacer estragos 			hacer-00010435		
OneWordMV	hallazgo		11	hallazgo-00043195-n	detectar-02154508-v		
OneWordMV	hermano		75	hermano-09876454-n	hermano-09877951-n		
OneWordMV	hinchado		23	hinchar-00264034-v	hinchar-00263682-v		
OneWordMV	hombro		77	hombro-05548840-n	hombro+a+hombro-00034500-r		
OneWordMV	horrible	google solo cuenta estadísticas horribles'	52	horrible-01126291-a			
OneWordMV	humanidad		83	humanidad-02472987-n	humanidad-04828925-n		
OneWordMV	humano	ser muy humano	72	humano-00007846-n	humano-01261867-a		
OneWordMV	hundido		3	hundido-01212867-a, hundir-01986869-v, hundir-01530098-v	aburmado, abatido		u.c.StringArray(elements=['abrumar, oprimir, abatir. (rae)'])
OneWordMV	identificar	indentificar(se) con alguien		identificar-00618878-v			
OneWordMV	idioma		77, 3	vivir-02614181-v	sentir-00596644-v		
Frame	idioma	teníamos un idioma que tan solo nosotras entendíamos 					
Frame	idioma	quién más va a entender este idioma					
OneWordMV	imaginar	tengo trabajo y no imagino el día en que vuelva allí y hacer como si nada pasase'		imaginar-01636397-v			
OneWordMV	impactante	impacto, impactante	21, 54	impacto-01173038-n	impacto-11414411-n		
OneWordMV	impacto	impacto, impactante	21, 53	impacto-01173038-n	impacto-11414411-n		
OneWordMV	impedimento	tener impedimentos	51	impedimento-05691144-n	aceptar-00797697-v		
OneWordMV	implante		12, 61	plantar-01567275-v	implante-03563710-n	u.c.StringArray(elements=['med. prótesis, tejido o sustancia que se coloca en el cuerpo para mejorar alguna de sus funciones, o con fines estéticos.', 'plantar, encajar, injertar.'])	
OneWordMV	inactivo		12, 28	inactivo-01564315-a	inactivo-00033574-a		
OneWordMV	incertidumbre						
OneWordMV	infierno		2	infierno-05629381-n	infierno-07305907-n		
OneWordMV	influir	influir en las respuestas	53	influir-00701040-v			
OneWordMV	injusto	enfermedad injusta					
OneWordMV	inmenso	agradecimiento inmenso	3	inmenso-01385255-a			
OneWordMV	inmerso	pasar una vida inmersa en hospitales	2, 83	inmersión-00442981-n			
OneWordMV	insaciados		3	insaciable-02078399-a	insaciablemente-00376761-r		
OneWordMV	insoportable		25	soporte-04359589-n			
OneWordMV	integrantes		7	integrante-03081021-n	integrante-01330986-a		
OneWordMV	intercambiar			intercambiar-00121926-v	intercambiar-02257370-v		
OneWordMV	interior	paz interior	3			u.c.StringArray(elements=['que está en la parte de adentro.'])	u.c.StringArray(elements=['que solo se siente en el alma.'])
OneWordMV	intervención	intervenir, intervención	6	intervenir-02188848-v	intervenir-00083809-v		
OneWordMV	intervenir	intervenir, intervención	6	intervenir-02188848-v	intervenir-00083809-v		
OneWordMV	inundar		6, 82	inundar-00217700-v			
OneWordMV	invadir	invadir, invasivo	32, 61	invadir-01126360-v			
Frame_RoleMismatch	invadir	me invade					
OneWordMV	ir	¿cómo (pro) ir?, ¿cómo te está yendo? , ir bien	2, 22, 6, 35, 35	ir-00341560-v	estar-02604760-v		
OneWordMV	ir	ir(se) la vida	2, 22, 6, 35, 36	ir-00341560-v	ir-00358431-v		
OneWordMV	ir		2, 22, 6, 35, 37	ir-00341560-v	ir-02372605-v		
OneWordMV	ir	ir a peor, ir y venir	2, 22, 6, 35, 38	ir-00341560-v	ir-02727039-v		
Frame_RoleMismatch	ir	(ir) A por esa vida					
FormulaicExpression	Ir	cómo está yendo					
FormulaicExpression	Ir	cómo le va					
FormulaicExpression	Ir	cómo os ha ido					
FormulaicExpression	Ir	cómo te va					
FormulaicExpression	Ir	cómo vas					
OneWordMV	irradiar						u.c.StringArray(elements=['transmitir, propagar, difundir. (rae)'])
OneWordMV	jodido	ser jodido renunciar al tratamiento por el costo					
OneWordMV	juntar	juntar(se) emociones					
OneWordMV	juzgo						
OneWordMV	leches			leche-05399034-n	leche-07410207-n		
OneWordMV	lejano		3	lejano-00442917-a			
OneWordMV	lento		22				
OneWordMV	levantar		3, 77	levantar-00018405-v	animar-00193130-v		
OneWordMV	librar(se)		3, 35	librarse-02074677-v	librarse-02350175-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/librarse+de-01513430-v		
OneWordMV	libre	libre de enfermedad	22	libre-01416255-a			
OneWordMV	lidiar		3, 2, 21	lidiar-01090335-v	experimentar-02108026-v		
OneWordMV	ligero		11	ligero-01186733-a	peque%C3%B1o-01391351-a		
OneWordMV	limitado		6	límite-13903738-n	capaz-00051045-a		
OneWordMV	limpiar	limpiar, limpio	22	limpio-00417413-a	curado-02541012-a		
OneWordMV	limpio	limpiar, limpio	22	limpio-00417413-a	curado-02541012-a		
OneWordMV	llegar	llegar resultados	5	llegar-00341917-v	recibir-02210119-v		
OneWordMV	llegar	llegar a decir	81		llegar-01063529-v		
OneWordMV	llenar	llenar, lleno	31	lleno-00560100-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/lleno-01083157-a	cuantioso-00013887-a		
OneWordMV	llevar		25, 2	llevar-01432601-v	doler-00065070-v		
OneWordMV	llevar			llevar-01432601-v	llevar-01218084-v		
OneWordMV	llevar			llevar-00047745-v	llevar-01434140-v		
Frame_RoleMismatch	llevar	intentamos llevar nuestra vida con alguna normalidad					
Hyperbole	Llorar	nunca he llorado como lloré					
OneWordMV	logro	ser un logro	28	logro-00036762-n			
OneWordMV	lotería	siento mucho lo que estáis pasando, es una triste lotería en este sorteo que es la vida'	2	lotería-00508091-n			
OneWordMV	lucha	luchar, luchador, lucha, seguir luchando	6, 11, 2, 71, 22, 36	luchar-01090335-v	estar enfermo-00065370-v		
Frame	lucha	lucha se reduce a rezar					
OneWordMV	luchador	luchar, luchador, lucha, seguir luchando	6, 11, 2, 71, 22, 35	luchar-01090335-v	enfermo-10595647-n		
OneWordMV	luchar	luchar, luchador, lucha, seguir luchando	6, 11, 2, 71, 22, 34	luchar-01090335-v	enfermo-10595647-n		
OneWordMV	luchar	luchar, luchador, lucha, seguir luchando	6, 11, 2, 71, 22, 35	luchar-01090335-v	estar enfermo-00065370-v		
OneWordMV	luchar	luchar, luchador, lucha, seguir luchando	6, 11, 2, 71, 22, 36	luchar-01090335-v	luchar-01091427-v, luchar-02531199-v		
Frame_RoleMismatch	luchar	luchamos con amor.					
OneWordMV	lucir	lucir, luz	34	luz-05018103-n	optimismo-07541558-n		
OneWordMV	luz	lucir, luz	34	luz-05018103-n	optimismo-07541558-n		
OneWordMV	maligno		11, 12	maligno-00224515-a	maligno-02594714-a		
OneWordMV	malo		11, 25	malo-01125429-a	enfermedad-14061805-n		
OneWordMV	mandar			mandar-00746718-v	mandar-00750172-v		
OneWordMV	mandar			mandar-00746718-v	mandar-01062555-v		
OneWordMV	mandar		6, 83, 5	mandar-00746718-v	mandar-01437254-v		
OneWordMV	mantener	mantener, mantenimiento	34	mantener-02679899-v	mantener-01773130-v		
OneWordMV	mantenimiento	mantener, mantenimiento	34	mantener-02679899-v	mantener-01773130-v		
OneWordMV	maravilla	el cirujano es una maravilla	72	milagro-07288801-n"			
OneWordMV	maravilloso	seguiré disfrutando de las pequeñas cosas en la vida que son maravillosas					
OneWordMV	márgen		12, 82	margen-06389398-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/margen-09213565-n	margen-03264542-n		
OneWordMV	masa		12	masa-05024254-n			
OneWordMV	matar		11, 22	matar-02482425-v	curar-00081725-v		
OneWordMV	mazazo		38	golpe-00133338-n		u.c.StringArray(elements=['m. golpe dado con una maza o un mazo. (rae)'])	u.c.StringArray(elements=['m. suceso, situación, etc., que causa fuerte impresión. (rae)'])
Frame	médico	los familiares no somos medicos pero si tenemos mucho amor y mimos para daros					
OneWordMV	mejorar		22	mejorar-00205046-v	mejorar-00270561-v		
OneWordMV	meter(se)	meter, meter(se), metido	32, 3, 72	meterse-01025602-v	operar-00083809-v		
Frame_RoleMismatch	meterse con	(el cáncer) no sabe con quién se ha metido					
OneWordMV	miembro		76	xtremidad-05559908-n	miembro-10307234-n		
OneWordMV	mierda	ser una mierda	2	mierda-14854262-n			
OneWordMV	milagro		22, 6				
Frame	mina	caminar sobre un campo de minas					
OneWordMV	mirar						
OneWordMV	mojar(se)		53, 72	mojar-00216216-v	opinar-01027668-v		
OneWordMV	molestar	molestar, molestia	25	molestar-01787955-v	doler-00065070-v		
OneWordMV	molestia	molestar, molestia	25	molestar-01787955-v	doler-00065070-v		
OneWordMV	monstruo		11	monstruo-09491966-n	cáncer-14239918-n		
Frame	montaña	me queda el último puerto de montaña					
OneWordMV	montaña rusa		31	monta%C3%B1a+rusa-04102406-n			u.c.StringArray(elements=['altibajo: alternancia de sucesos prósperos y adversos, o cambios de estado sucesivos en un orden de cosas.'])
OneWordMV	morir	morir, muerto de miedo	3, 33, 32	morir-00358431-v	suplicio-07496755-n		
Frame_RoleMismatch	morir	me moría x dentro					
OneWordMV	mover	mover, mover(se)					
OneWordMV	mundo			mundo-09466280-n	mundo-08179689-n		
OneWordMV	muñeco Gusiluz						
OneWordMV	mutación		12	mudar-01855606-v	mutaci%C3%B3n-07425011-n	u.c.StringArray(elements=['acción y efecto de mudar o mudarse.'])	
OneWordMV	natural		39	natural-01570892-a	natural-01595050-a		
OneWordMV	necesitar		3	necesitar-01188725-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/necesitar-02627934-v	necesitar-00709205-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/necesitar-01189113-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/necesitar-02635547-v		
OneWordMV	negro		31, 33	negro-00274068-a	negro-00364881-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/negro-01050088-a		
OneWordMV	noticia		53	noticia-06269130-n	diagnóstico médico-00153105-n		
Frame_RoleMismatch	obligar	el universo me está obligando					
OneWordMV	obtener	obtener tratamiento					
OneWordMV	oculto	ocultar información	7, 81	ocultar-02145271-v	ocultar-02145271-v		
OneWordMV	odisea		23	odisea-00308279-n			
OneWordMV	ofertar	ofertar tratamiento	6	ofertar-02298632-v			
Frame_RoleMismatch	ofrecer	todo lo bueno que te ofrece la vida					
OneWordMV	oleada	oleada de amor	3	oleada-07348545-n			u.c.StringArray(elements=['parición repentina de algo en gran cantidad.'])
OneWordMV	olvido	se puede tramitar "olvido" como negligencia médica?					
OneWordMV	opresión		25, 33	presión-11495041-n			
OneWordMV	orientación		38, 53	orientaci%C3%B3n-13828075-n	orientaci%C3%B3n-06786629-n		
OneWordMV	orientar		77, 6	orientar-00468791-v			u.c.StringArray(elements=['dar a alguien información o consejo en relación con un determinado fin. (rae))'])
OneWordMV	oscuro		33	oscuro-00273082-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/oscuro-00274291-a	oscuro-00364881-a		
OneWordMV	página						
OneWordMV	palabra		81	palabra-06286395-n	palabra-07140659-n		
OneWordMV	panorama		2, 28, 33	panorama-03884072-n	cáncer-14239918-n		
OneWordMV	paralizar	paralizar la vida	21	paralizar-00268477-v			
OneWordMV	parar	parar, parado	11, 28	parar-01860795-v			
OneWordMV	parnafernalia		2	parafernalia-03430959-n		u.c.StringArray(elements=['conjunto de usos habituales en determinados actos o ceremonias, y de objetos que en ellos se emplean. (rae)'])	u.c.StringArray(elements=['trámites molestos'])
OneWordMV	pasar	pasar, pasar por	3, 2, 76, 21, 11	pasar-01212230-v	aprobar-02525044-v		
OneWordMV	pasar	pasar, pasar por, ir a pasar, pasando	2	pasar-01212230-v	experimentar-02108026-v		
Frame_RoleMismatch	pasar	siento que, tan joven, te toque pasar por estos "descalabros" que la vida nos prepara!					
OneWordMV	paso		2, 21	paso-00285889-n	paso-00174412-n		
Frame_RoleMismatch	pedir	hicé lo que mi mente me pedía					
OneWordMV	pelear		2	pelear-01090335-v	pelear-01090335-v		
OneWordMV	pequeño			peque%C3%B1o-01392249-a	peque%C3%B1a-10084295-n		
OneWordMV	perder		26	perder-02287618-v	morir-00358431-v		
OneWordMV	perder		31, 34	perder-02287618-v	perder-02127853-v		
Hyperbole	Perder	no pierdes nada					
OneWordMV	perdido		53, 38	perder-02287618-v	desorientar-00621734-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/perdido-01230616-a	u.c.StringArray(elements=['que se ha salido de su ruta y no sabe llegar a su destino.'])	
OneWordMV	perfecto		22	perfecto-01749320-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/perfecto-01750847-a	curado-02541012-a		
OneWordMV	peros		23			u.c.StringArray(elements=['defecto u objeción. (rae)'])	
OneWordMV	pesadilla		11, 24, 2	pesadilla-05769062-n	pesadilla-13936676-n, enfermedad-14061805-n		
OneWordMV	peso		30, 81	peso-05026843-n	peso-05832745-n		
OneWordMV	picar		27	picar-00331842-v	picar-01174294-v		
OneWordMV	pillar		26	pillar-02344568-v	pillar-00725748-v		
OneWordMV	plantear		51	plano-03954199-n	plantear-01025246-v	u.c.StringArray(elements=['tantear, trazar o hacer planta de algo para procurar el acierto en ello.'])	
OneWordMV	poder		26	poder-05030680-n	poder-05190804-n		
OneWordMV	poder		35	poder-05030680-n	endure		
OneWordMV	poner	poner en contacto, poner de su parte					
OneWordMV	por montones			mont%C3%B3n-08182379-n	mont%C3%B3n-13777509-n		
OneWordMV	posición		5	posici%C3%B3n-00155487-n	diagnóstico médico-00153105-n		
OneWordMV	positivo		5	positivo-01819390-a			
OneWordMV	positivo		34	positivo-01819390-a	positivo-01817908-a		
OneWordMV	practicar						
OneWordMV	precio	no beber tiene un precio en la vida social'	21	precio-05145118-n			
OneWordMV	preocupado						
OneWordMV	preocupar(se)	preocupar(se), preocupación					
Frame_RoleMismatch	preparar	la vida nos prepara					
OneWordMV	presentar	presentar(se) un problema, presentar síntomas					
OneWordMV	principio		6, 2	principio-08507558-n	principio-07290905-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/principio-15265518-n		
OneWordMV	problema		5, 11	problema-00623862-n	enfermedad-14055408-n		
Frame_RoleMismatch	procesar	tu cuerpo y mente están tratando de procesar					
OneWordMV	proceso		3, 21, 6, 	proceso-00029677-n	proceso-05701363-n		
OneWordMV	profundo		3	profundo-00690058-a	profundo-01872745-a		
OneWordMV	progresar	progresar, progresión	11, 2	progresi%C3%B3n-07445265-n	progresi%C3%B3n-00282050-n		
OneWordMV	progresar	progresar, progresión	11, 3	progresi%C3%B3n-07445265-n	progresi%C3%B3n-00282050-n		
OneWordMV	prolongar	prolongar la vida	26, 21, 52	largo-05129201-n	prolongar-00317888-v		
OneWordMV	pronunciado		77	pronunciar-00941990-v	alto-01210854-a		
OneWordMV	propagado	propagar, propagado	11	plantar-01567275-v	metástasis-13514314-n		
OneWordMV	propagar	propagar, propagado	11	plantar-01567275-v	metástasis-13514314-n		
OneWordMV	protagonista		73	protagonista-10172793-n	importante-00579622-a		
Frame_RoleMismatch	provocar	el cáncer me ha provocado					
Frame_RoleMismatch	provocar	el cáncer me ha provocado					
OneWordMV	prueba		5	prueba-00791078-n	prueba-00785959-n		
Frame	puerta	se nos abra una pequeña puerta hacia la esperanza					
OneWordMV	punto		11	punto-13911872-n	tumor-14235200-n		
OneWordMV	puñetero		fechas	puñetero-00984624-a			
OneWordMV	quedar		6, 23	quedar-00117985-v	quedar-02202384-v		
Hyperbole	Quedar	quedara nada de nada					
Hyperbole	Quedar	no quedaba nada					
Frame_RoleMismatch	quitar	esta enfermedad me va a quitar la vida					
OneWordMV	quitar(se)	quitar, quitar(se)	25	quitarse-01513430-v	desaparecer-00153061-v		
OneWordMV	radical		51	radical-00318667-a	radical-10074735-n		
OneWordMV	radioactivo		82				
OneWordMV	raíz	a raíz de					
OneWordMV	rastreo						
OneWordMV	rastro		5, 11	huella-06645039-n	rastro-06646628-n		
OneWordMV	reaccionar		3	reaccionar-00446885-v	reaccionar-02061069-v		
OneWordMV	reactivar		24	activar-01643657-v	recaer-00268165-v		
OneWordMV	real		77	real-00043765-a', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/real-01932973-a	real-02460964-a		
OneWordMV	rebosar	rebosar energía, rebosar optimismo	3	fill as much as possible: rebosar			
OneWordMV	recaer	recaer, recaída	24	caer-01970826-v	recaer-00268165-v	u.c.StringArray(elements=['recaer: volver a caer (rae)'])	
OneWordMV	recalcar		85	apretar-01387786-v	recalcar-00983333-v		
OneWordMV	recibir		6	recibir-02210119-v	recibir-00522751-v		
OneWordMV	recibir		53	recibir-02210119-v	recibirse-02739480-v		
OneWordMV	reconstrucción	reconstruir, reconstrucción, reconstruido	61	reconstrucci%C3%B3n-00270186-n			
OneWordMV	reconstrucción	reconstruir, reconstrucción, reconstruido	61	reconstrucci%C3%B3n-00270186-n			
OneWordMV	reconstruir	reconstruir, reconstrucción, reconstruido	61	reconstrucci%C3%B3n-00270186-n			
OneWordMV	recuperar	recuperar, recuperación	22, 21	recuperar-02205887-v	recuperar-00092690-v		
OneWordMV	recurrir		6	recurrir-02497586-v	tratar-00080304-v		
OneWordMV	reducir	reducir la posibilidad	52	reducir-00441445-v	reducir-00156485-v		
OneWordMV	referencia		51	referencia-07258332-n	caso-07308889-n		
OneWordMV	regalo		3	regalo-13265011-n	regalo-01086081-n		
OneWordMV	región		82	regi%C3%B3n-08497294-n	regi%C3%B3n-05221895-n		
OneWordMV	regresar		24	regresar-02078294-v	recaer-00268165-v		
Frame_RoleMismatch	regresar	el cáncer regresó					
OneWordMV	reinjertar		61, 12	plantar-01567275-v	implante-03563710-n		
OneWordMV	relegar	sexualidad relegada	23	desterrar-02499312-v		u.c.StringArray(elements=['tr. desterrar de un lugar. (rae)'])	u.c.StringArray(elements=['tr. apartar, posponer. relegar al olvido algo. (rae)'])
OneWordMV	remar		2, 77	remar-00445351-n	colaborar-02416278-v		
Frame	remar	Remamos en idéntico barco					
OneWordMV	rematar		11	rematar-00485435-v	sanar-00081725-v		
OneWordMV	remedio	poner remedio lo antes posible	6				
OneWordMV	remisión	remitir, remisión	22	remitir-01031256-v	remitir-00268314-v		
OneWordMV	remitir	remitir, remisión	22	remitir-01031256-v	remitir-00268314-v		
OneWordMV	remontar		22	remontar-00155406-v			
OneWordMV	remover		33	remover-00173338-v	remover-01629958-v		u.c.StringArray(elements=['conmover, alterar o revolver alguna cosa o asunto que estaba olvidado, detenido'])
OneWordMV	rendir(se)		2, 34, 26	rendirse-01117609-v	rendirse-01083044-v		
OneWordMV	reproducir(se)	reproducir(Se) el tumor					
OneWordMV	rescatar		3	rescatar-02206920-v	curar-00081725-v		
OneWordMV	resistencia	resistir, resistencia	11, 7	resistir-01116585-v	resistir-02619122-v		
OneWordMV	resistir	resistir, resistencia	11, 6	resistir-01116585-v	resistir-02619122-v		
Frame_RoleMismatch	resistir	tu cuerpo va a poder resistirla.					
OneWordMV	resolver	resolver dudas	53	resolver-00634906-v			
OneWordMV	resonar		3, 77	resonar-02172888-v	pensar-00608808-v		
OneWordMV	responder	responder, respondido, respuesta					
OneWordMV	respuesta	responder, respondido, respuesta					
OneWordMV	resultar		6	resultado-13594585-n			
OneWordMV	retirar	retirar la medicación	6	retirar-00173338-v	interrumpir-00362348-v		
OneWordMV	reto		61	reto-07231840-n			
OneWordMV	retomar		21	retomar-00348422-v	retomar-00350104-v		
OneWordMV	revelar		5	revelar-02137710-v	revelar-00933821-v		
OneWordMV	revuelto		23	revolver-01418179-v			
OneWordMV	rezar		31	rezar-00759269-v			
Frame	rezar	lucha se reduce a rezar					
OneWordMV	riendas		39	rienda-04072551-n	rienda-05197574-n		
Hyperbole	Rodear	todo lo que te rodea					
OneWordMV	romper	romper estadísticas	22	romper-00335923-v			
Frame_RoleMismatch	romper	el corazón se os rompe en mil pedazos					
OneWordMV	rondar	rondar un peso	23	rondar-01918304-v	aproximar-02666060-v		
OneWordMV	roto		32, 3	roto-00289082-a	sentir-00690305-v		
OneWordMV	sacar	hay que sacar lo mejor de esta prueba'	34	sacar-01214597-v	aprovechar-02290461-v		
OneWordMV	sacrificio	comer es un sacrificio	25, 23	sacrificio-00227595-n			
OneWordMV	salir		11, 6	salir-00528990-v	curar-00270561-v		
