MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	apoderar	apoderar(se)	32	apoderarse-01213614-v	tener-00065370-v		
OneWordMV	aportar	aportar	77	aportar-02237782-v	aportar-01182709-v		
OneWordMV	apoyar	apoyar, apoyar(se)	31, 76, 77	apoyar-01217043-v, apoyo-04359589-n	 apoyo-07251984-n, apoyo-05693919-n		
OneWordMV	aprendizaje						
OneWordMV	apuntar	todo parece apuntar a'	5	guiar-01931768-v	indicar-00772640-v		
OneWordMV	arcada	arcada	23	arcada-02734217-n	arcada-14359952-n		
OneWordMV	armar	armar, armar(se)	3	armar-01087197-v	armar-00407848-v		
Frame	armar	armarte de paciencia, valor y esperanza	34				
OneWordMV	arranque	arrancar el tratamiento	63	arrancar-01592456-v	arrancar-00349223-v		
OneWordMV	arrasar	arrasar	3	arrasar-01661804-v	arrasar-01102997-v		
OneWordMV	arrear	supongo que así es como se siente uno cuando le arrean un puñetazo en la cara	53			u.c.StringArray(elements=['estimular a las bestias para que echen a andar'])	u.c.StringArray(elements=['dar prisa, estimular'])
OneWordMV	arrear	si te lo notas más inflamado pues arreando al médico'	83	arrear-02652376-v	ir-00341560-v		
OneWordMV	arrebatar	arrebatar la vida	33				
OneWordMV	arrojar	arrojar	13	arrojar-01242689-v, arrojar-02222318-v	arrojar-01629403-v		
OneWordMV	asaltar	asaltar	3	asalto-00773814-n	asaltar-01318081-v		
OneWordMV	asimilar	asimilar una noticia, 63					
OneWordMV	atacar	atacar, ataques	11	atacar-00019792-v	atacar-01119169-v		
OneWordMV	ataque	atacar, ataques	11	atacar-00019792-v	atacar-01119169-v		
OneWordMV	atormentar	tormenta, atormentar	31	tormenta+%C3%ADgnea-11457944-n	atormentar-01802689-v	u.c.StringArray(elements=['tr. causar dolor o molestia corporal. (rae)'])	atormentar
OneWordMV	atrapado	atrapar, atrapado	11, 21	atrapar-01215421-v	atrapar-02496185-v		
OneWordMV	atrapar	atrapar, atrapado	11, 22	atrapar-01215421-v	atrapar-02496185-v		
OneWordMV	atravesar	59					
OneWordMV	avance	avanzar, avanzado, avance	6	avanzar-01995549-v, avanzar-01884266-v	curar-00081725-v		
OneWordMV	avance	avanzar, avanzado, avance	84	avanzar-01995549-v, avanzar-01884266-v	progreso-00249501-n		
OneWordMV	avanzado	avanzar, avanzado, avance	11, 13	avanzar-01995549-v, avanzar-01884266-v	metástasis-13514314-n		
OneWordMV	avanzar	avanzar, avanzado, avance	34	avanzar-01995549-v, avanzar-01884266-v	avanzar-00248659-v		
OneWordMV	avanzar	avanzar, avanzado, avance	11, 12	avanzar-01995549-v, avanzar-01884266-v	metástasis-13514314-n		
Frame_RoleMismatch	avanzar	medicina aunque lentamente avanza	84				
